243,44.32,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Durham                  ,    13.08.1994
243,44.32,   Angelo Taylor              ,    USA   ,  29.12.78 ,3,  Osaka                   ,    31.08.2007
243,44.32,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Eugene                  ,    01.06.2013
243,44.32,   Kirani James               ,    GRN   ,  01.09.92 ,2,  Zürich                  ,    29.08.2013
251,44.33,   Thomas Schönlebe           ,    GER   ,  06.08.65 ,1,  Roma                    ,    03.09.1987
251,44.33,   Harry Reynolds             ,    USA   ,  08.06.64 ,   1s2  ,  Seoul                   ,    26.09.1988
251,44.33,   Harry Reynolds             ,    USA   ,  08.06.64 ,   1r1  ,  Atlanta                 ,    18.05.1996
251,44.33,   Tyree Washington           ,    USA   ,  28.08.76 ,1,  Palo Alto               ,    21.06.2003
251,44.33,   Gil Roberts                ,    USA   ,  15.03.89 ,   2s1  ,  Sacramento              ,    23.06.2017
251,44.33,   Baboloki Thebe             ,    BOT   ,  18.03.97 ,   2s2  ,  London                  ,    06.08.2017
251,44.33,   Fred Kerley                ,    USA   ,  07.05.95 ,1,  Roma                    ,    31.05.2018
258,44.34,   Danny Everett              ,    USA   ,  01.11.66 ,1,  Westwood                ,    22.05.1988
258,44.34,   Samson Kitur               ,    KEN   ,  25.02.66 ,   1s2  ,  Stuttgart               ,    16.08.1993
258,44.34,   Darnell Hall               ,    USA   ,  26.09.71 ,1,  Lausanne                ,    05.07.1995
